choice,id,alt,pf,cl,loc,wk,tod,seas,chid
0,8,4,9,1,0,1,0,0,86
0,8,1,0,1,0,0,1,0,87
1,8,2,9,5,0,1,0,0,87
0,8,3,0,5,0,1,0,1,87
0,8,4,7,0,0,0,0,0,87
0,8,1,9,0,1,0,0,0,88
1,8,2,7,5,0,0,0,0,88
0,8,3,0,1,0,1,0,1,88
0,8,4,0,1,0,0,1,0,88
0,8,1,0,0,1,0,1,0,89
1,8,2,7,1,0,0,0,0,89
0,8,3,9,5,0,1,0,0,89
0,8,4,0,5,0,1,0,1,89
0,8,1,9,5,0,1,0,0,90
0,8,2,0,0,0,0,0,1,90
1,8,3,7,1,0,0,0,0,90
0,8,4,0,0,1,0,1,0,90
1,8,1,7,0,0,0,0,0,91
0,8,2,0,0,0,1,1,0,91
0,8,3,0,5,0,1,0,1,91
0,8,4,9,1,0,0,0,0,91
1,8,1,7,5,1,0,0,0,92
0,8,2,0,1,0,0,0,1,92
0,8,3,0,5,0,0,1,0,92
0,8,4,9,0,0,1,0,0,92
0,8,1,0,0,0,1,0,1,93
0,8,2,0,1,0,0,1,0,93
0,8,3,9,0,0,1,0,0,93
1,8,4,7,5,1,0,0,0,93
0,8,1,0,5,0,0,0,1,94
0,8,2,0,1,0,0,1,0,94
0,8,3,9,5,1,0,0,0,94
1,8,4,7,0,0,1,0,0,94
0,8,1,9,5,0,1,0,0,95
0,8,2,0,0,0,1,1,0,95
0,8,3,0,5,1,0,0,1,95
1,8,4,7,1,0,0,0,0,95
0,8,1,9,1,0,1,0,0,96
1,8,2,7,0,1,0,0,0,96
0,8,3,0,5,0,1,1,0,96
0,8,4,0,0,0,0,0,1,96
0,9,1,0,5,0,1,1,0,97
0,9,2,9,0,1,0,0,0,97
1,9,3,0,1,0,1,0,1,97
0,9,4,7,5,0,0,0,0,97
1,9,1,0,5,1,0,0,1,98
0,9,2,7,1,0,0,0,0,98
0,9,3,0,0,0,0,1,0,98
0,9,4,9,1,0,0,0,0,98
0,9,1,0,1,0,0,1,0,99
1,9,2,7,5,0,1,0,0,99
0,9,3,0,0,0,0,1,0,99
0,9,4,0,1,0,0,0,1,99
0,9,1,9,0,0,1,0,0,100
0,9,2,7,0,0,0,0,0,100
0,9,3,0,1,0,1,0,1,100
1,9,4,0,5,1,0,1,0,100
1,9,1,7,5,1,0,0,0,101
0,9,2,0,1,0,1,0,1,101
0,9,3,0,0,0,0,1,0,101
0,9,4,9,0,0,0,0,0,101
0,9,1,0,5,0,1,1,0,102
1,9,2,0,5,0,0,0,1,102
0,9,3,9,1,1,0,0,0,102
0,9,4,7,0,0,1,0,0,102
0,9,1,0,1,0,0,0,1,103
0,9,2,7,0,0,0,0,0,103
0,9,3,9,0,1,0,0,0,103
1,9,4,0,5,0,1,1,0,103
0,9,1,9,1,1,0,0,0,104
0,9,2,7,1,0,1,0,0,104
0,9,3,0,0,0,1,1,0,104
1,9,4,0,5,0,0,0,1,104
1,9,1,0,5,0,0,1,0,105
0,9,2,7,0,1,0,0,0,105
0,9,3,0,1,0,1,0,1,105
0,9,4,9,0,0,0,0,0,105
1,9,1,0,5,1,0,0,1,106
0,9,2,7,1,0,1,0,0,106
0,9,3,0,0,0,0,1,0,106
0,9,4,9,1,0,0,0,0,106
1,9,1,7,1,0,0,0,0,107
0,9,2,9,0,0,1,0,0,107
0,9,3,0,5,0,0,1,0,107
0,9,4,0,1,1,0,0,1,107
0,9,1,9,0,0,1,0,0,108
0,9,2,7,0,0,0,0,0,108
1,9,3,0,1,0,1,0,1,108
0,9,4,0,5,1,0,1,0,108
0,10,1,0,0,1,0,0,1,109
0,10,2,7,5,0,1,0,0,109
0,10,3,0,1,0,0,1,0,109
1,10,4,9,1,0,1,0,0,109
0,10,1,7,5,0,0,0,0,110
1,10,2,0,1,0,1,1,0,110
0,10,3,0,0,0,1,0,1,110
0,10,4,9,5,1,0,0,0,110
0,10,1,9,1,0,0,0,0,111
0,10,2,0,1,0,0,1,0,111
0,10,3,7,5,0,1,0,0,111
1,10,4,0,0,1,0,0,1,111
0,10,1,7,5,0,1,0,0,112
0,10,2,9,1,0,0,0,0,112
0,10,3,0,0,0,1,1,0,112
1,10,4,0,1,1,0,0,1,112
0,10,1,7,5,0,1,0,0,113
0,10,2,9,1,1,0,0,0,113
1,10,3,0,0,0,0,0,1,113
0,10,4,0,5,0,1,1,0,113
1,10,1,7,0,0,1,0,0,114
0,10,2,9,5,0,1,0,0,114
0,10,3,0,1,1,0,1,0,114
0,10,4,0,5,0,0,0,1,114
0,10,1,9,5,0,0,0,0,115
0,10,2,7,1,0,1,0,0,115
0,10,3,0,0,0,1,1,0,115
1,10,4,0,0,1,0,0,1,115
1,10,1,0,1,0,1,0,1,116
0,10,2,9,1,0,0,0,0,116
0,10,3,7,0,1,0,0,0,116
0,10,4,0,5,0,1,1,0,116
0,10,1,0,0,1,0,1,0,117
0,10,2,9,1,0,1,0,0,117
1,10,3,0,0,0,0,0,1,117
0,10,4,7,5,0,1,0,0,117
1,10,1,0,0,0,0,0,1,118
0,10,2,9,0,0,0,0,0,118
0,10,3,0,1,1,0,1,0,118
0,10,4,7,5,0,1,0,0,118
0,10,1,0,5,0,1,0,1,119
1,10,2,9,0,0,0,0,0,119
0,10,3,0,1,0,0,1,0,119
0,10,4,7,5,1,0,0,0,119
0,10,1,9,0,0,1,0,0,120
1,10,2,7,1,0,0,0,0,120
0,10,3,0,1,1,0,0,1,120
0,10,4,0,5,0,0,1,0,120
1,11,1,9,0,0,0,0,0,121
0,11,2,0,0,0,1,0,1,121
0,11,3,0,1,1,0,1,0,121
0,11,4,7,5,0,1,0,0,121
0,11,1,0,0,0,0,1,0,122
0,11,2,7,5,0,0,0,0,122
0,11,3,0,0,1,0,0,1,122
1,11,4,9,1,0,1,0,0,122
0,11,1,0,1,0,0,1,0,123
0,11,2,9,5,0,1,0,0,123
0,11,3,0,5,0,1,0,1,123
1,11,4,7,0,0,0,0,0,123
1,11,1,9,0,1,0,0,0,124
0,11,2,7,5,0,0,0,0,124
0,11,3,0,1,0,1,0,1,124
0,11,4,0,1,0,0,1,0,124
1,11,1,0,0,1,0,1,0,125
0,11,2,7,1,0,0,0,0,125
0,11,3,9,5,0,1,0,0,125
0,11,4,0,5,0,1,0,1,125
0,11,1,9,5,0,1,0,0,126
0,11,2,0,0,0,0,0,1,126
0,11,3,7,1,0,0,0,0,126
1,11,4,0,0,1,0,1,0,126
0,11,1,7,0,0,0,0,0,127
1,11,2,0,0,0,1,1,0,127
0,11,3,0,5,0,1,0,1,127
0,11,4,9,1,0,0,0,0,127
0,11,1,7,5,1,0,0,0,128
0,11,2,0,1,0,0,0,1,128
0,11,3,0,5,0,0,1,0,128
1,11,4,9,0,0,1,0,0,128
0,11,1,0,0,0,1,0,1,129
0,11,2,0,1,0,0,1,0,129
1,11,3,9,0,0,1,0,0,129
0,11,4,7,5,1,0,0,0,129
0,11,1,0,5,0,0,0,1,130
0,11,2,0,1,0,0,1,0,130
0,11,3,9,5,1,0,0,0,130
1,11,4,7,0,0,1,0,0,130
0,11,1,9,5,0,1,0,0,131
1,11,2,0,0,0,1,1,0,131
0,11,3,0,5,1,0,0,1,131
0,11,4,7,1,0,0,0,0,131
0,11,1,9,1,0,1,0,0,132
1,11,2,7,0,1,0,0,0,132
0,11,3,0,5,0,1,1,0,132
0,11,4,0,0,0,0,0,1,132
1,12,1,7,5,1,0,0,0,133
0,12,2,0,1,0,1,0,1,133
0,12,3,0,0,0,0,1,0,133
0,12,4,9,0,0,0,0,0,133
0,12,1,0,5,0,1,1,0,134
0,12,2,0,5,0,0,0,1,134
0,12,3,9,1,1,0,0,0,134
1,12,4,7,0,0,1,0,0,134
0,12,1,0,1,0,0,0,1,135
0,12,2,7,0,0,0,0,0,135
0,12,3,9,0,1,0,0,0,135
1,12,4,0,5,0,1,1,0,135
0,12,1,9,1,1,0,0,0,136
1,12,2,7,1,0,1,0,0,136
0,12,3,0,0,0,1,1,0,136
0,12,4,0,5,0,0,0,1,136
0,12,1,0,5,0,0,1,0,137
0,12,2,7,0,1,0,0,0,137
1,12,3,0,1,0,1,0,1,137
0,12,4,9,0,0,0,0,0,137
0,12,1,0,5,1,0,0,1,138
1,12,2,7,1,0,1,0,0,138
0,12,3,0,0,0,0,1,0,138
0,12,4,9,1,0,0,0,0,138
0,12,1,7,1,0,0,0,0,139
1,12,2,9,0,0,1,0,0,139
0,12,3,0,5,0,0,1,0,139
0,12,4,0,1,1,0,0,1,139
0,12,1,9,0,0,1,0,0,140
0,12,2,7,0,0,0,0,0,140
1,12,3,0,1,0,1,0,1,140
0,12,4,0,5,1,0,1,0,140
0,12,1,0,0,1,0,0,1,141
0,12,2,0,1,0,0,1,0,141
0,12,3,9,1,0,0,0,0,141
1,12,4,9,5,0,1,0,0,141
0,12,1,9,0,0,1,0,0,142
0,12,2,7,5,0,0,0,0,142
1,12,3,0,1,1,0,0,1,142
0,12,4,0,0,0,0,1,0,142
0,12,1,0,1,0,1,0,1,143
1,12,2,9,0,0,1,0,0,143
0,12,3,0,0,0,0,1,0,143
0,12,4,7,5,1,0,0,0,143
1,12,1,0,5,0,1,0,1,144
0,12,2,9,0,0,1,0,0,144
0,12,3,7,1,0,0,0,0,144
0,12,4,0,0,0,0,1,0,144
1,13,1,0,5,0,1,1,0,145
0,13,2,9,0,1,0,0,0,145
0,13,3,0,1,0,1,0,1,145
0,13,4,7,5,0,0,0,0,145
1,13,1,0,5,1,0,0,1,146
0,13,2,7,1,0,0,0,0,146
0,13,3,0,0,0,0,1,0,146
0,13,4,9,1,0,0,0,0,146
0,13,1,0,1,0,0,1,0,147
1,13,2,7,5,0,1,0,0,147
0,13,3,0,0,0,0,1,0,147
0,13,4,0,1,0,0,0,1,147
0,13,1,9,0,0,1,0,0,148
0,13,2,7,0,0,0,0,0,148
1,13,3,0,1,0,1,0,1,148
0,13,4,0,5,1,0,1,0,148
1,13,1,7,5,1,0,0,0,149
0,13,2,0,1,0,1,0,1,149
0,13,3,0,0,0,0,1,0,149
0,13,4,9,0,0,0,0,0,149
0,13,1,0,5,0,1,1,0,150
0,13,2,0,5,0,0,0,1,150
0,13,3,9,1,1,0,0,0,150
1,13,4,7,0,0,1,0,0,150
0,13,1,9,1,1,0,0,0,151
1,13,2,7,1,0,1,0,0,151
0,13,3,0,0,0,1,1,0,151
0,13,4,0,5,0,0,0,1,151
0,13,1,0,5,0,0,1,0,152
1,13,2,7,0,1,0,0,0,152
0,13,3,0,1,0,1,0,1,152
0,13,4,9,0,0,0,0,0,152
0,13,1,0,5,1,0,0,1,153
1,13,2,7,1,0,1,0,0,153
0,13,3,0,0,0,0,1,0,153
0,13,4,9,1,0,0,0,0,153
1,13,1,7,1,0,0,0,0,154
0,13,2,9,0,0,1,0,0,154
0,13,3,0,5,0,0,1,0,154
0,13,4,0,1,1,0,0,1,154
0,13,1,9,0,0,1,0,0,155
1,13,2,7,0,0,0,0,0,155
0,13,3,0,1,0,1,0,1,155
0,13,4,0,5,1,0,1,0,155
0,14,1,7,5,1,0,0,0,156
1,14,2,0,1,0,1,0,1,156
0,14,3,0,0,0,0,1,0,156
0,14,4,9,0,0,0,0,0,156
0,14,1,0,5,0,1,1,0,157
0,14,2,0,5,0,0,0,1,157
0,14,3,9,1,1,0,0,0,157
1,14,4,7,0,0,1,0,0,157
0,14,1,0,1,0,0,0,1,158
0,14,2,7,0,0,0,0,0,158
1,14,3,9,0,1,0,0,0,158
0,14,4,0,5,0,1,1,0,158
0,14,1,9,1,1,0,0,0,159
1,14,2,7,1,0,1,0,0,159
0,14,3,0,0,0,1,1,0,159
0,14,4,0,5,0,0,0,1,159
0,14,1,0,5,0,0,1,0,160
0,14,2,7,0,1,0,0,0,160
1,14,3,0,1,0,1,0,1,160
0,14,4,9,0,0,0,0,0,160
1,14,1,0,5,1,0,0,1,161
0,14,2,7,1,0,1,0,0,161
0,14,3,0,0,0,0,1,0,161
0,14,4,9,1,0,0,0,0,161
0,14,1,7,1,0,0,0,0,162
0,14,2,9,0,0,1,0,0,162
0,14,3,0,5,0,0,1,0,162
1,14,4,0,1,1,0,0,1,162
0,14,1,9,0,0,1,0,0,163
0,14,2,7,0,0,0,0,0,163
1,14,3,0,1,0,1,0,1,163
0,14,4,0,5,1,0,1,0,163
1,14,1,0,0,1,0,0,1,164
0,14,2,0,1,0,0,1,0,164
0,14,3,9,1,0,0,0,0,164
0,14,4,9,5,0,1,0,0,164
0,14,1,9,0,0,1,0,0,165
0,14,2,7,5,0,0,0,0,165
1,14,3,0,1,1,0,0,1,165
0,14,4,0,0,0,0,1,0,165
1,14,1,0,1,0,1,0,1,166
0,14,2,9,0,0,1,0,0,166
0,14,3,0,0,0,0,1,0,166
0,14,4,7,5,1,0,0,0,166
0,14,1,0,5,0,1,0,1,167
0,14,2,9,0,0,1,0,0,167
1,14,3,7,1,0,0,0,0,167
0,14,4,0,0,0,0,1,0,167
0,15,1,7,5,1,0,0,0,168
1,15,2,0,1,0,1,0,1,168
0,15,3,0,0,0,0,1,0,168
0,15,4,9,0,0,0,0,0,168
0,15,1,0,5,0,1,1,0,169
0,15,2,0,5,0,0,0,1,169
0,15,3,9,1,1,0,0,0,169
1,15,4,7,0,0,1,0,0,169
0,15,1,0,1,0,0,0,1,170
1,15,2,7,0,0,0,0,0,170
0,15,3,9,0,1,0,0,0,170
0,15,4,0,5,0,1,1,0,170
0,15,1,9,1,1,0,0,0,171
1,15,2,7,1,0,1,0,0,171
0,15,3,0,0,0,1,1,0,171
0,15,4,0,5,0,0,0,1,171
0,15,1,0,5,0,0,1,0,172
1,15,2,7,0,1,0,0,0,172
0,15,3,0,1,0,1,0,1,172
0,15,4,9,0,0,0,0,0,172
0,15,1,0,5,1,0,0,1,173
1,15,2,7,1,0,1,0,0,173
0,15,3,0,0,0,0,1,0,173
0,15,4,9,1,0,0,0,0,173
1,15,1,7,1,0,0,0,0,174
0,15,2,9,0,0,1,0,0,174
0,15,3,0,5,0,0,1,0,174
0,15,4,0,1,1,0,0,1,174
0,15,1,9,0,0,1,0,0,175
